AUC,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,-0.54,-0.50,-0.58,-0.58,-0.62,-0.69,-0.55,-0.63,-0.50
SVM,-0.49,-0.59,-0.49,-0.67,-0.58,-0.66,-0.52,-0.50,-0.49
NB,-0.44,-0.49,-0.43,0.23,-0.20,-0.42,-0.45,-0.61,-0.49
RF,-0.54,-0.53,-0.52,-0.57,-0.55,-0.66,-0.55,-0.49,-0.50
LR,-0.46,-0.57,-0.51,-0.63,-0.58,-0.71,-0.58,-0.50,-0.78
DT,-0.49,-0.53,-0.48,-0.43,-0.48,-0.50,-0.52,-0.46,-0.49
False_alarm,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,-0.06,-0.06,-0.08,0.00,-0.10,-0.13,-0.09,-0.08,0.00
SVM,-0.03,-0.06,-0.03,0.00,0.00,-0.02,-0.03,0.00,0.00
NB,-0.06,0.03,0.05,0.73,0.38,0.10,0.06,0.02,0.00
RF,0.04,0.03,-0.03,-0.03,0.02,-0.02,-0.01,0.00,0.00
LR,-0.13,-0.06,-0.03,0.03,0.00,-0.03,-0.03,0.00,-0.10
DT,0.03,0.12,-0.05,0.00,0.07,0.02,-0.01,0.00,0.00
Recall,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,-0.19,-0.06,-0.05,-0.17,-0.33,-0.38,-0.19,-0.33,0.00
SVM,0.15,-0.09,0.22,0.07,0.00,-0.25,0.08,0.00,0.00
NB,0.02,0.11,0.40,1.00,0.43,0.25,0.28,0.17,0.00
RF,0.03,0.08,0.10,0.33,0.03,-0.25,0.00,0.00,0.00
LR,0.15,-0.08,0.19,0.07,0.00,-0.25,-0.06,0.00,-0.67
DT,-0.09,0.03,0.00,0.33,0.03,0.00,0.06,0.00,0.00
Precision,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,-0.01,0.07,0.14,-1.00,-0.33,-0.00,-0.18,-0.17,0.00
SVM,0.14,0.00,0.35,0.00,-0.75,-0.10,0.28,0.00,0.00
NB,0.13,0.03,0.15,0.18,-0.81,-0.06,0.04,-0.21,0.00
RF,-0.04,-0.03,0.19,0.50,-0.17,-0.10,0.07,0.00,0.00
LR,0.27,0.01,0.28,-0.25,-0.50,-0.00,0.17,0.00,-0.17
DT,-0.05,-0.21,0.07,0.25,-0.33,-0.03,0.07,0.00,0.00
F_score,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,-0.12,-0.01,0.02,-0.29,-0.33,-0.22,-0.18,-0.22,0.00
SVM,0.16,-0.10,0.27,0.00,-0.06,-0.26,0.14,0.00,0.00
NB,0.04,0.09,0.35,0.31,0.01,0.13,0.20,-0.13,0.00
RF,0.01,0.09,0.10,0.35,0.00,-0.26,-0.00,0.00,0.00
LR,0.16,-0.06,0.23,0.00,0.00,-0.20,-0.04,0.00,-0.27
DT,-0.05,-0.06,0.04,0.30,-0.07,0.02,0.07,0.00,0.00
Accuracy,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,-0.02,0.05,0.05,-0.86,-0.83,0.04,-0.84,-0.90,0.00
SVM,0.06,0.00,0.08,0.00,-0.05,-0.01,0.03,0.00,0.00
NB,0.05,0.03,0.04,0.37,-0.27,-0.06,-0.04,-0.06,0.00
RF,-0.01,0.01,0.05,0.06,-0.01,-0.02,0.01,0.00,0.00
LR,0.10,-0.01,0.07,-0.00,-0.02,-0.00,0.02,0.00,-0.89
DT,-0.03,-0.06,0.04,0.06,-0.07,-0.03,0.02,0.00,0.00
