AUC,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,0.33,0.43,0.52,0.36,0.30,0.54,0.47,0.48,0.51
SVM,0.48,0.45,0.53,0.53,0.31,0.47,0.56,0.43,0.37
NB,0.52,0.53,0.53,-0.08,0.03,0.46,0.61,0.48,0.37
RF,0.62,0.59,0.60,0.68,0.55,0.53,0.66,0.46,0.75
LR,0.46,0.47,0.53,0.57,0.42,0.55,0.58,0.41,0.67
DT,0.50,0.49,0.53,0.58,0.44,0.51,0.55,0.53,0.57
False_alarm,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,0.13,0.12,0.10,0.16,0.05,0.01,0.06,0.09,-0.01
SVM,0.15,0.12,0.09,0.03,0.07,0.06,0.04,0.03,-0.01
NB,-0.00,0.03,-0.02,0.03,-0.11,0.00,0.01,-0.02,-0.00
RF,0.13,0.12,0.16,0.06,0.12,0.09,0.15,-0.03,0.05
LR,0.12,0.21,0.10,0.10,0.00,0.11,0.10,-0.03,0.17
DT,0.16,0.06,0.17,0.10,0.09,0.06,0.13,0.03,0.06
Recall,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,0.28,0.13,0.10,0.27,0.10,0.12,0.09,0.17,0.17
SVM,0.19,0.17,0.13,0.07,-0.10,0.00,0.02,0.00,-0.17
NB,0.06,-0.03,-0.05,0.00,0.00,-0.12,0.06,-0.17,0.00
RF,0.29,0.20,0.19,0.17,0.17,0.25,0.31,-0.33,0.17
LR,0.28,0.19,0.07,0.07,0.07,0.12,0.15,-0.17,0.67
DT,0.25,0.20,0.28,0.00,0.10,0.12,0.03,0.00,-0.17
Precision,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,-0.01,-0.03,-0.05,0.00,-0.01,-0.02,-0.01,-0.01,0.00
SVM,-0.07,-0.05,-0.04,0.03,-0.04,-0.04,0.01,0.02,-0.03
NB,0.03,0.04,0.02,0.02,0.02,-0.04,-0.00,0.02,0.01
RF,-0.01,-0.06,-0.10,-0.10,0.00,-0.05,-0.13,-0.20,0.02
LR,-0.04,-0.09,-0.06,-0.07,0.01,-0.06,-0.04,0.02,0.07
DT,0.02,0.00,-0.09,-0.10,-0.02,0.02,-0.08,-0.07,-0.03
F_score,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,0.07,0.01,-0.02,0.05,-0.01,-0.01,-0.00,0.00,0.01
SVM,0.03,0.03,-0.00,0.04,-0.07,-0.01,0.01,0.03,-0.05
NB,0.14,0.04,-0.02,0.02,0.02,-0.05,0.01,0.03,0.02
RF,0.15,0.08,0.06,0.00,0.03,-0.03,-0.02,-0.29,0.07
LR,0.05,-0.02,-0.02,0.03,0.02,-0.05,-0.03,0.03,0.11
DT,0.14,0.14,0.04,0.00,-0.04,0.04,-0.07,-0.08,-0.05
Accuracy,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,-0.03,-0.01,-0.05,-0.05,-0.01,-0.01,-0.05,-0.02,-0.07
SVM,-0.04,-0.05,-0.04,-0.02,-0.08,-0.04,-0.02,0.02,-0.09
NB,0.03,0.03,0.00,0.01,0.04,0.01,-0.01,-0.04,0.08
RF,0.03,-0.01,-0.06,-0.03,-0.06,-0.05,-0.10,-0.90,-0.02
LR,-0.03,-0.08,-0.06,-0.05,-0.03,-0.07,-0.08,0.02,0.75
DT,0.02,0.03,-0.08,-0.07,-0.05,-0.01,-0.11,-0.10,-0.09
