AUC,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,-0.32,-0.38,-0.41,-0.34,-0.33,-0.44,-0.32,-0.46,-0.30
SVM,-0.36,-0.44,-0.34,-0.50,-0.32,-0.48,-0.35,-0.33,-0.34
NB,-0.41,-0.46,-0.37,0.20,-0.02,-0.39,-0.43,-0.50,-0.41
RF,-0.57,-0.53,-0.49,-0.50,-0.47,-0.56,-0.48,-0.46,-0.47
LR,-0.30,-0.48,-0.37,-0.53,-0.32,-0.55,-0.44,-0.32,-0.78
DT,-0.55,-0.53,-0.48,-0.43,-0.43,-0.43,-0.47,-0.42,-0.43
False_alarm,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,0.16,0.06,0.09,0.24,0.19,0.12,0.14,0.09,0.20
SVM,0.10,0.09,0.11,0.17,0.27,0.16,0.15,0.17,0.16
NB,-0.03,0.06,0.11,0.70,0.56,0.13,0.08,0.12,0.08
RF,0.00,0.03,-0.00,0.04,0.10,0.08,0.06,0.03,0.03
LR,0.04,0.03,0.10,0.13,0.26,0.13,0.11,0.18,-0.10
DT,-0.03,0.12,-0.06,0.00,0.12,0.08,0.04,0.05,0.06
Recall,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,0.10,0.15,0.29,0.23,0.07,0.25,0.41,0.17,0.50
SVM,0.31,0.11,0.46,0.27,0.43,0.25,0.54,0.33,0.50
NB,0.06,0.20,0.43,1.00,0.50,0.38,0.44,0.17,0.33
RF,-0.04,0.08,0.19,0.33,0.17,0.00,0.25,0.33,0.50
LR,0.28,0.03,0.46,0.27,0.43,0.12,0.35,0.50,-0.67
DT,-0.25,-0.08,-0.08,0.33,0.23,0.25,0.22,0.33,0.50
Precision,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,-0.13,0.01,-0.01,-0.75,-0.15,-0.03,0.03,-0.08,0.06
SVM,0.03,-0.10,0.12,-0.62,-0.78,-0.33,0.03,0.08,0.06
NB,0.13,-0.07,0.08,0.19,-0.85,-0.02,0.06,-0.23,0.01
RF,-0.07,-0.06,0.09,0.10,-0.25,-0.30,-0.05,0.20,0.14
LR,0.16,-0.03,0.08,-0.60,-0.75,-0.26,-0.07,0.08,-0.17
DT,-0.12,-0.20,0.05,0.25,-0.28,-0.10,0.02,0.14,0.11
F_score,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,0.01,0.09,0.13,0.00,-0.06,0.03,0.12,-0.08,0.11
SVM,0.21,0.02,0.34,-0.04,0.05,-0.10,0.19,0.12,0.11
NB,0.07,0.08,0.33,0.32,-0.04,0.18,0.22,-0.18,0.03
RF,-0.06,0.05,0.14,0.30,0.06,-0.13,0.18,0.29,0.20
LR,0.26,0.01,0.29,-0.08,0.07,-0.12,0.09,0.12,-0.27
DT,-0.20,-0.17,0.00,0.26,0.05,0.03,0.10,0.20,0.18
Accuracy,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,-0.07,0.01,-0.01,-0.17,-0.16,-0.06,-0.09,-0.15,0.79
SVM,0.04,-0.02,0.02,-0.09,-0.17,-0.13,-0.09,0.77,0.78
NB,0.04,-0.01,0.02,0.38,-0.42,-0.07,-0.03,-0.12,0.26
RF,-0.03,0.01,0.03,0.03,-0.06,-0.07,-0.02,0.90,0.91
LR,0.09,0.00,0.02,-0.09,-0.16,-0.10,-0.06,0.79,-0.89
DT,-0.08,-0.10,0.04,0.08,-0.09,-0.09,-0.02,0.88,0.90
