Learners,Measures,synapse,xerces,tomcat,xalan,camel,prop,ant,arc,poi,ivy,velocity,redaktor,log4j,jedit
KNN,Recall,0.73 / 0.12,0.77 / 0.10,0.78 / 0.05,0.50 / 0.50,0.79 / 0.06,0.75 / 0.07,0.78 / 0.06,0.76 / 0.15,0.81 / 0.12,0.77 / 0.07,0.70 / 0.13,0.70 / 0.13,0.33 / 0.33,0.78 / 0.06
SVM,Recall,0.79 / 0.12,0.87 / 0.09,0.82 / 0.04,0.67 / 0.50,0.83 / 0.09,0.71 / 0.07,0.81 / 0.03,0.78 / 0.10,0.79 / 0.04,0.82 / 0.05,0.77 / 0.10,0.87 / 0.07,0.67 / 0.67,0.80 / 0.08
NB,Recall,0.79 / 0.09,0.84 / 0.10,0.88 / 0.03,0.67 / 0.50,0.83 / 0.05,0.36 / 0.10,0.84 / 0.08,0.54 / 0.15,0.88 / 0.06,0.86 / 0.05,0.87 / 0.10,0.30 / 0.18,0.67 / 0.33,0.70 / 0.43
RF,Recall,0.91 / 0.09,0.80 / 0.07,0.94 / 0.03,0.50 / 0.50,0.95 / 0.03,0.93 / 0.03,0.91 / 0.04,0.90 / 0.05,0.69 / 0.11,0.89 / 0.05,0.90 / 0.10,0.93 / 0.07,0.33 / 0.67,0.94 / 0.03
LR,Recall,0.79 / 0.12,0.90 / 0.10,0.82 / 0.04,0.50 / 0.50,0.83 / 0.05,0.71 / 0.05,0.80 / 0.05,0.78 / 0.09,0.75 / 0.09,0.84 / 0.08,0.77 / 0.10,0.83 / 0.07,0.67 / 0.67,0.80 / 0.06
DT,Recall,0.85 / 0.09,0.77 / 0.13,0.89 / 0.06,0.50 / 0.50,0.94 / 0.06,0.90 / 0.03,0.88 / 0.05,0.85 / 0.10,0.56 / 0.12,0.84 / 0.06,0.83 / 0.07,0.90 / 0.07,0.33 / 0.33,0.93 / 0.03
KNN,Precision,0.81 / 0.06,0.54 / 0.09,0.95 / 0.02,0.05 / 0.03,0.98 / 0.02,0.93 / 0.02,0.90 / 0.03,0.92 / 0.05,0.59 / 0.08,0.96 / 0.02,0.77 / 0.07,0.86 / 0.03,0.08 / 0.04,0.99 / 0.00
SVM,Precision,0.80 / 0.05,0.67 / 0.09,0.96 / 0.02,0.20 / 0.10,0.97 / 0.02,0.93 / 0.02,0.89 / 0.03,0.92 / 0.03,0.65 / 0.08,0.94 / 0.03,0.79 / 0.07,0.90 / 0.06,0.14 / 0.08,0.99 / 0.02
NB,Precision,0.78 / 0.06,0.44 / 0.05,0.96 / 0.02,0.09 / 0.04,0.98 / 0.02,0.94 / 0.05,0.88 / 0.04,0.92 / 0.04,0.44 / 0.05,0.93 / 0.03,0.72 / 0.04,0.93 / 0.12,0.12 / 0.05,0.98 / 0.02
RF,Precision,0.76 / 0.07,0.87 / 0.08,0.94 / 0.01,1.00 / 0.57,0.97 / 0.02,0.92 / 0.02,0.85 / 0.03,0.91 / 0.03,0.72 / 0.10,0.92 / 0.02,0.74 / 0.05,0.90 / 0.06,0.20 / 0.33,0.99 / 0.01
LR,Precision,0.81 / 0.07,0.62 / 0.05,0.96 / 0.01,0.18 / 0.11,0.97 / 0.02,0.93 / 0.02,0.89 / 0.04,0.92 / 0.03,0.63 / 0.09,0.94 / 0.03,0.81 / 0.11,0.90 / 0.07,0.14 / 0.10,0.99 / 0.02
DT,Precision,0.74 / 0.04,0.82 / 0.10,0.93 / 0.02,0.50 / 0.75,0.97 / 0.02,0.93 / 0.02,0.83 / 0.02,0.91 / 0.03,0.70 / 0.12,0.93 / 0.03,0.73 / 0.04,0.90 / 0.03,0.22 / 0.19,0.99 / 0.01
KNN,F_score,0.79 / 0.08,0.62 / 0.08,0.85 / 0.03,0.09 / 0.05,0.87 / 0.03,0.83 / 0.03,0.84 / 0.03,0.83 / 0.09,0.69 / 0.09,0.85 / 0.03,0.73 / 0.11,0.77 / 0.07,0.14 / 0.07,0.87 / 0.04
SVM,F_score,0.80 / 0.07,0.74 / 0.06,0.89 / 0.03,0.29 / 0.13,0.89 / 0.05,0.80 / 0.04,0.85 / 0.04,0.84 / 0.07,0.71 / 0.04,0.88 / 0.04,0.78 / 0.07,0.89 / 0.03,0.23 / 0.15,0.89 / 0.05
NB,F_score,0.79 / 0.05,0.59 / 0.05,0.91 / 0.02,0.16 / 0.08,0.90 / 0.03,0.53 / 0.11,0.86 / 0.03,0.69 / 0.12,0.59 / 0.05,0.89 / 0.03,0.79 / 0.03,0.46 / 0.20,0.21 / 0.09,0.81 / 0.31
RF,F_score,0.82 / 0.06,0.84 / 0.06,0.93 / 0.01,0.67 / 0.30,0.96 / 0.02,0.93 / 0.02,0.88 / 0.02,0.90 / 0.03,0.69 / 0.07,0.91 / 0.03,0.81 / 0.04,0.92 / 0.04,0.25 / 0.40,0.97 / 0.02
LR,F_score,0.80 / 0.05,0.72 / 0.06,0.89 / 0.03,0.29 / 0.15,0.89 / 0.04,0.80 / 0.03,0.84 / 0.04,0.85 / 0.04,0.69 / 0.07,0.89 / 0.03,0.77 / 0.06,0.87 / 0.03,0.23 / 0.13,0.89 / 0.04
DT,F_score,0.79 / 0.04,0.79 / 0.09,0.91 / 0.03,0.67 / 0.33,0.95 / 0.03,0.92 / 0.03,0.85 / 0.02,0.88 / 0.06,0.62 / 0.10,0.88 / 0.03,0.78 / 0.06,0.90 / 0.05,0.29 / 0.20,0.96 / 0.02
KNN,Accuracy,0.72 / 0.10,0.77 / 0.06,0.76 / 0.05,0.85 / 0.09,0.78 / 0.05,0.73 / 0.05,0.77 / 0.04,0.73 / 0.12,0.73 / 0.07,0.76 / 0.03,0.65 / 0.11,0.65 / 0.09,0.52 / 0.09,0.78 / 0.06
SVM,Accuracy,0.74 / 0.08,0.85 / 0.04,0.81 / 0.05,0.96 / 0.03,0.81 / 0.08,0.69 / 0.06,0.78 / 0.04,0.74 / 0.10,0.76 / 0.05,0.80 / 0.06,0.72 / 0.07,0.81 / 0.03,0.69 / 0.10,0.80 / 0.08
NB,Accuracy,0.71 / 0.08,0.68 / 0.05,0.84 / 0.03,0.90 / 0.06,0.82 / 0.06,0.41 / 0.08,0.79 / 0.05,0.56 / 0.13,0.55 / 0.08,0.82 / 0.04,0.70 / 0.05,0.42 / 0.11,0.55 / 0.12,0.69 / 0.42
RF,Accuracy,0.74 / 0.10,0.92 / 0.03,0.88 / 0.02,0.99 / 0.02,0.93 / 0.03,0.88 / 0.03,0.81 / 0.03,0.81 / 0.04,0.78 / 0.05,0.84 / 0.04,0.72 / 0.04,0.85 / 0.06,0.85 / 0.88,0.94 / 0.04
LR,Accuracy,0.73 / 0.05,0.83 / 0.03,0.81 / 0.04,0.95 / 0.02,0.81 / 0.06,0.69 / 0.05,0.77 / 0.05,0.75 / 0.05,0.75 / 0.07,0.81 / 0.04,0.72 / 0.09,0.80 / 0.04,0.71 / 0.12,0.81 / 0.06
DT,Accuracy,0.71 / 0.05,0.90 / 0.03,0.84 / 0.05,0.99 / 0.02,0.91 / 0.06,0.85 / 0.04,0.77 / 0.03,0.78 / 0.10,0.75 / 0.05,0.79 / 0.05,0.69 / 0.06,0.83 / 0.08,0.83 / 0.08,0.92 / 0.03
