camel,13.00 / 9.00,50.00 / 50.00,2.99 / 2.00
ant,14.00 / 7.00,50.00 / 0.00,3.01 / 2.00
arc,11.00 / 7.75,200.00 / 350.00,3.11 / 2.00
poi,12.00 / 7.00,100.00 / 137.50,2.87 / 2.00
ivy,13.00 / 6.75,50.00 / 50.00,2.83 / 2.00
synapse,12.00 / 9.00,100.00 / 350.00,2.89 / 3.00
xerces,12.50 / 9.00,100.00 / 150.00,3.19 / 2.00
tomcat,13.00 / 8.75,50.00 / 50.00,3.18 / 3.00
xalan,12.00 / 8.00,100.00 / 150.00,3.13 / 2.00
prop,12.00 / 8.50,50.00 / 50.00,2.80 / 2.00
jedit,13.00 / 7.75,100.00 / 150.00,3.27 / 2.00
velocity,14.00 / 7.75,200.00 / 350.00,3.02 / 2.00
redaktor,13.00 / 9.00,200.00 / 350.00,2.83 / 2.00
log4j,12.00 / 7.00,150.00 / 100.00,3.03 / 2.00
