AUC,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,0.33,0.43,0.52,0.36,0.3,0.54,0.47,0.48,0.51
SVM,0.48,0.45,0.53,0.53,0.31,0.47,0.56,0.43,0.37
NB,0.52,0.53,0.53,-0.08,0.03,0.46,0.61,0.48,0.37
RF,0.62,0.59,0.6,0.68,0.55,0.53,0.66,0.46,0.75
LR,0.46,0.47,0.53,0.57,0.42,0.55,0.58,0.41,0.67
DT,0.5,0.49,0.53,0.58,0.44,0.51,0.55,0.53,0.57
False_alarm,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,0.1,0.09,0.02,0.06,0.02,0.01,-0.01,0.03,0.03
SVM,0.12,0.09,0.08,0.07,0.02,0.05,0.01,0.01,0.1
NB,-0.0,0.0,0.01,0.03,-0.11,-0.02,0.03,0.02,0.01
RF,0.16,0.12,0.05,-0.0,0.04,-0.02,0.03,-0.0,0.03
LR,0.09,0.15,0.08,0.07,0.02,0.05,0.06,-0.0,0.21
DT,0.09,0.09,0.09,0.03,-0.0,0.03,0.04,0.03,-0.0
Precision,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,0.0,-0.05,-0.03,-0.04,0.03,-0.04,0.02,-0.0,0.0
SVM,-0.06,-0.01,-0.05,-0.04,0.01,0.02,0.02,0.01,0.0
NB,0.14,0.0,0.04,0.02,0.01,-0.04,0.0,0.04,0.06
RF,-0.06,-0.05,-0.03,-0.1,0.05,-0.01,-0.08,-0.09,0.04
LR,0.01,-0.07,-0.04,-0.07,-0.03,-0.05,-0.02,0.01,0.03
DT,0.02,-0.05,-0.01,-0.07,-0.02,0.05,-0.06,-0.03,-0.02
Recall,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,0.34,0.19,0.22,0.43,-0.07,0.0,0.15,-0.17,0.17
SVM,0.25,0.28,0.31,0.07,0.07,0.0,0.15,0.33,-0.17
NB,0.06,0.02,0.04,-0.17,0.0,0.0,0.0,-0.17,0.0
RF,0.29,0.25,0.4,0.17,0.17,0.38,0.44,0.0,0.17
LR,0.34,0.24,0.24,0.23,0.07,0.13,0.15,0.17,0.67
DT,0.38,0.25,0.43,0.17,0.27,0.13,0.22,0.0,0.17
