AUC,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,0.33,0.43,0.52,0.36,0.30,0.54,0.47,0.48,0.51
SVM,0.48,0.45,0.53,0.53,0.31,0.47,0.56,0.43,0.37
NB,0.52,0.53,0.53,-0.08,0.03,0.46,0.61,0.48,0.37
RF,0.62,0.59,0.60,0.68,0.55,0.53,0.66,0.46,0.75
LR,0.46,0.47,0.53,0.57,0.42,0.55,0.58,0.41,0.67
DT,0.50,0.49,0.53,0.58,0.44,0.51,0.55,0.53,0.57
False_alarm,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,0.10,0.09,0.02,0.06,0.02,0.01,-0.01,0.03,0.03
SVM,0.12,0.09,0.08,0.07,0.02,0.05,0.01,0.01,0.10
NB,-0.00,0.00,0.01,0.03,-0.11,-0.02,0.03,0.02,0.01
RF,0.16,0.12,0.05,-0.00,0.04,-0.02,0.03,-0.00,0.03
LR,0.09,0.15,0.08,0.07,0.02,0.05,0.06,-0.00,0.21
DT,0.09,0.09,0.09,0.03,-0.00,0.03,0.04,0.03,-0.00
Recall,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,0.34,0.19,0.22,0.43,-0.07,0.00,0.15,-0.17,0.17
SVM,0.25,0.28,0.31,0.07,0.07,0.00,0.15,0.33,-0.17
NB,0.06,0.02,0.04,-0.17,0.00,0.00,0.00,-0.17,0.00
RF,0.29,0.25,0.40,0.17,0.17,0.38,0.44,0.00,0.17
LR,0.34,0.24,0.24,0.23,0.07,0.12,0.15,0.17,0.67
DT,0.38,0.25,0.43,0.17,0.27,0.12,0.22,0.00,0.17
Precision,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,0.00,-0.05,-0.03,-0.04,0.03,-0.04,0.02,-0.00,0.00
SVM,-0.06,-0.01,-0.05,-0.04,0.01,0.02,0.02,0.01,0.00
NB,0.14,0.00,0.04,0.02,0.01,-0.04,0.00,0.04,0.06
RF,-0.06,-0.05,-0.03,-0.10,0.05,-0.01,-0.08,-0.09,0.04
LR,0.01,-0.07,-0.04,-0.07,-0.03,-0.05,-0.02,0.01,0.03
DT,0.02,-0.05,-0.01,-0.07,-0.02,0.05,-0.06,-0.03,-0.02
F_score,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,0.04,0.03,-0.02,0.00,-0.04,0.00,-0.01,0.00,0.00
SVM,0.01,0.06,-0.03,0.02,0.02,-0.00,0.04,0.05,-0.04
NB,0.03,0.07,-0.02,0.00,0.07,0.02,-0.00,0.01,0.08
RF,0.15,0.08,0.10,0.01,-0.03,-0.02,-0.01,-0.09,0.09
LR,0.08,0.04,-0.01,0.05,-0.02,-0.07,0.01,0.02,0.11
DT,0.18,0.13,0.06,0.04,0.01,0.05,-0.06,0.02,0.02
Accuracy,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,-0.01,-0.03,-0.01,-0.08,-0.03,-0.04,-0.02,0.01,-0.18
SVM,-0.04,-0.03,-0.03,-0.02,-0.02,0.00,0.00,0.02,-0.05
NB,0.03,-0.01,0.02,0.01,0.15,0.01,-0.01,0.01,0.60
RF,0.01,-0.05,0.00,-0.03,-0.04,0.00,-0.03,-0.19,0.00
LR,-0.03,-0.04,-0.05,-0.11,-0.01,-0.03,-0.04,-0.01,0.60
DT,0.04,0.03,-0.03,-0.07,-0.03,0.02,-0.04,-0.08,-0.06
