AUC,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,0.22,0.12,0.16,0.24,0.29,0.24,0.23,0.17,0.20
SVM,0.13,0.15,0.15,0.17,0.27,0.17,0.17,0.17,0.16
NB,0.03,0.03,0.06,-0.03,0.18,0.03,0.02,0.11,0.08
RF,-0.03,0.00,0.03,0.07,0.07,0.10,0.06,0.03,0.03
LR,0.17,0.09,0.14,0.10,0.26,0.16,0.14,0.18,0.00
DT,-0.06,0.00,-0.01,0.00,0.05,0.06,0.05,0.05,0.06
False_alarm,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,0.22,0.12,0.16,0.24,0.29,0.24,0.23,0.17,0.20
SVM,0.13,0.15,0.15,0.17,0.27,0.17,0.17,0.17,0.16
NB,0.03,0.03,0.06,-0.03,0.18,0.03,0.02,0.11,0.08
RF,-0.03,0.00,0.03,0.07,0.07,0.10,0.06,0.03,0.03
LR,0.17,0.09,0.14,0.10,0.26,0.16,0.14,0.18,0.00
DT,-0.06,0.00,-0.01,0.00,0.05,0.06,0.05,0.05,0.06
Recall,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,0.28,0.20,0.33,0.40,0.40,0.62,0.60,0.50,0.50
SVM,0.16,0.20,0.24,0.20,0.43,0.50,0.47,0.33,0.50
NB,0.05,0.09,0.03,0.00,0.07,0.12,0.16,0.00,0.33
RF,-0.07,0.00,0.09,0.00,0.13,0.25,0.25,0.33,0.50
LR,0.13,0.12,0.27,0.20,0.43,0.38,0.41,0.50,0.00
DT,-0.16,-0.12,-0.08,0.00,0.20,0.25,0.15,0.33,0.50
Precision,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,-0.12,-0.07,-0.15,0.25,0.18,-0.03,0.20,0.09,0.06
SVM,-0.11,-0.10,-0.22,-0.62,-0.03,-0.23,-0.25,0.08,0.06
NB,0.00,-0.10,-0.07,0.01,-0.04,0.04,0.03,-0.02,0.01
RF,-0.03,-0.02,-0.10,-0.40,-0.08,-0.20,-0.12,0.20,0.14
LR,-0.10,-0.05,-0.20,-0.35,-0.25,-0.26,-0.23,0.08,0.00
DT,-0.07,0.01,-0.02,0.00,0.05,-0.07,-0.05,0.14,0.11
F_score,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,0.13,0.10,0.11,0.29,0.27,0.25,0.30,0.14,0.11
SVM,0.05,0.11,0.07,-0.04,0.11,0.16,0.05,0.12,0.11
NB,0.02,-0.01,-0.01,0.01,-0.05,0.05,0.03,-0.05,0.03
RF,-0.07,-0.04,0.03,-0.05,0.06,0.13,0.18,0.29,0.20
LR,0.10,0.07,0.05,-0.08,0.07,0.08,0.13,0.12,0.00
DT,-0.14,-0.10,-0.03,-0.04,0.12,0.01,0.03,0.20,0.18
Accuracy,(34) velocity,(33) synapse,(22) ant,(15) redaktor,(11) arc,(11) ivy,(9) tomcat,(4) camel,(2) jedit
KNN,-0.05,-0.04,-0.05,0.69,0.67,-0.10,0.76,0.75,0.79
SVM,-0.02,-0.03,-0.06,-0.09,-0.12,-0.11,-0.12,0.77,0.78
NB,-0.01,-0.04,-0.02,0.01,-0.15,-0.01,0.00,-0.06,0.26
RF,-0.02,0.00,-0.02,-0.03,-0.06,-0.06,-0.03,0.90,0.91
LR,-0.01,0.01,-0.05,-0.09,-0.14,-0.10,-0.09,0.79,0.00
DT,-0.06,-0.04,-0.00,0.02,-0.02,-0.06,-0.04,0.88,0.90
